,,,,,,,,,,,,,,,,,,,,,,,
Rk,Tm,G,Cmp,Att,Cmp_Pct,Yds,TD,TD_Pct,Int_Total,Int_Pct,Lng,YperA,AyperA,YperC,YperG,Rate,QBR,Sk,Sk_Yds,NyperA,ANYperA,Sk_Pct,EXP
1,SEA,16,313,507,61.7,2970,17,3.4,13,2.6,,6.3,5.8,10.2,185.6,80.4,,37,234,5.5,5,6.8,-20.84
2,KC,16,318,545,58.3,3252,22,4,6,1.1,,6.4,6.7,11,203.3,86.4,,46,253,5.5,5.8,7.8,-17.03
3,BUF,16,337,559,60.3,3292,16,2.9,19,3.4,,6.4,5.5,10.7,205.8,74.5,,54,308,5.4,4.5,8.8,35.24
4,SD,16,320,524,61.1,3427,24,4.6,7,1.3,,6.9,7.2,11.3,214.2,91.3,,26,178,6.2,6.5,4.7,-79.59
5,SF,16,324,551,58.8,3531,29,5.3,23,4.2,,6.8,5.9,11.5,220.7,79.5,,36,200,6,5.2,6.1,-46.52
6,MIA,16,338,537,62.9,3557,27,5,14,2.6,,7,6.8,11.1,222.3,89.7,,39,211,6.2,6,6.8,-48.03
7,MIN,16,353,534,66.1,3572,26,4.9,13,2.4,,7.1,7,10.7,223.3,92.8,,41,217,6.2,6.1,7.1,-57.96
8,CLE,16,335,587,57.1,3592,22,3.7,21,3.6,,6.4,5.6,11.3,224.5,74.1,,31,191,5.8,5,5,0.66
9,DEN,16,399,641,62.2,3607,29,4.5,18,2.8,,6,5.7,9.7,225.4,82.4,,41,252,5.3,5,6,-45.39
10,GB,16,333,564,59,3623,26,4.6,18,3.2,,6.9,6.4,11.7,226.4,82,,41,261,6,5.5,6.8,-45.84
11,CAR,16,364,562,64.8,3645,25,4.4,14,2.5,,7,6.7,10.8,227.8,89.5,,40,268,6.1,5.8,6.6,-51.81
12,IND,16,320,543,58.9,3669,27,5,12,2.2,,7.2,7.2,12.3,229.3,88.7,,41,263,6.3,6.3,7,-16.5
13,DET,16,383,592,64.7,3706,23,3.9,20,3.4,,6.8,6,10.4,231.6,83,,42,295,5.8,5.2,6.6,-41.9
14,NYJ,16,345,538,64.1,3746,31,5.8,6,1.1,,7.5,8.2,11.8,234.1,101.5,,45,310,6.4,7,7.7,-99.33
15,TEN,16,347,545,63.7,3773,28,5.1,12,2.2,,7.3,7.4,11.5,235.8,93.6,,39,222,6.5,6.5,6.7,-112.22
16,OAK,16,343,538,63.8,3810,29,5.4,9,1.7,,7.4,7.7,11.6,238.1,96.9,,22,157,6.8,7.1,3.9,-127.44
17,NE,16,342,574,59.6,3837,24,4.2,16,2.8,,7.2,6.8,12,239.8,84,,40,282,6.2,5.9,6.5,-61
18,NYG,16,324,522,62.1,3850,25,4.8,17,3.3,,8,7.5,12.8,240.6,89.4,,47,313,6.8,6.3,8.3,-52.7
19,STL,16,368,540,68.1,3861,18,3.3,13,2.4,,7.6,7.2,11.2,241.3,91.8,,40,265,6.7,6.3,6.9,-57.93
20,CIN,16,365,608,60,3888,18,3,20,3.3,,6.6,5.7,11,243,75.8,,20,125,6.2,5.3,3.2,-53.38
21,HOU,16,363,619,58.6,3890,28,4.5,20,3.2,,6.7,6.1,11.4,243.1,80.4,,38,251,5.9,5.4,5.8,29.48
22,JAX,16,355,541,65.6,3899,24,4.4,6,1.1,,7.7,8.1,11.8,243.7,99.1,,45,275,6.7,7,7.7,-67.17
23,BAL,16,382,595,64.2,3979,22,3.7,11,1.8,,7.3,7.2,11.4,248.7,90.6,,49,362,6.2,6.1,7.6,-91.25
24,WAS,16,345,519,66.5,3990,35,6.7,7,1.3,,8.2,8.9,12.3,249.4,108.3,,36,241,7.2,7.9,6.5,-172.2
25,NO,16,341,546,62.5,4019,26,4.8,12,2.2,,7.7,7.7,12.3,251.2,92.9,,34,188,6.9,6.9,5.9,-115.66
26,DAL,16,371,558,66.5,4031,22,3.9,18,3.2,,7.5,6.8,11.3,251.9,88.5,,28,156,6.9,6.2,4.8,-102.27
27,PIT,16,350,543,64.5,4049,30,5.5,11,2,,7.8,8,12.1,253.1,98.3,,33,194,7,7.2,5.7,-113.35
28,TB,16,387,563,68.7,4084,28,5,14,2.5,,7.6,7.5,11.1,255.3,97.4,,36,210,6.8,6.7,6,-137.68
29,AZ,16,365,579,63,4152,22,3.8,18,3.1,,7.6,7,12,259.5,86,,35,244,6.8,6.2,5.7,-31.99
30,CHI,16,366,548,66.8,4230,34,6.2,14,2.6,,8.1,8.2,12.2,264.4,101.7,,39,228,7.2,7.3,6.6,-135.41
31,PHI,16,345,591,58.4,4238,30,5.1,12,2,,7.8,7.9,13.3,264.9,91.6,,49,357,6.6,6.7,7.7,-97.59
32,ATL,16,359,566,63.4,4478,20,3.5,16,2.8,,8.2,7.6,12.9,279.9,88.9,,22,140,7.6,7.1,3.7,-131.54
,Avg Team,,350,558.7,62.6,3789,25.2,4.5,14.1,2.5,74,7.2,7,11.5,236.8,87.1,,37.9,239.1,6.35,6.1,6.3,-67.7
,League Total,,11200,17879,62.6,121247,807,4.5,450,2.5,94,7.2,7,11.5,236.8,88.9,,1212,7651,6.35,6.1,6.3,
,Avg Tm/G,,21.9,34.9,62.6,236.8,1.6,4.5,0.9,2.5,,7.2,7,11.5,236.8,87.1,,2.4,14.9,6.35,6.1,6.3,
