,,,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,Comp,Att,PassYards,PassTD,PassInt,RushAtt,RushYards,RushTD,FantasyPts
Peyton,Manning,DEN,QB,BAL,-4,51,32,41,368,2,0,0,0,0,26.4
Aaron,Rodgers,GB,QB,CHI,-6,50,26,38,330,2,0,4,13,0,25.8
Drew,Brees,NO,QB,ARI,,47,25,39,320,2,0,0,0,0,24
Andrew,Luck,IND,QB,BUF,-2.5,46.5,25,39,339,1,0,4,24,0,23.35
Russell,Wilson,SEA,QB,STL,-3.5,43,15,24,181,1,0,7,34,1,22.45
Cam,Newton,CAR,QB,JAX,-3,41,20,30,229,2,0,7,28,0,22.25
Ryan,Tannehill,MIA,QB,WAS,-3,43.5,21,35,299,0,1,5,21,1,21.05
Philip,Rivers,SD,QB,DET,-2.5,45.5,18,25,212,1,0,1,1,1,20.7
Ben,Roethlisberger,PIT,QB,MIN,,,26,39,319,1,0,2,6,0,20.55
Ben,Roethlisberger,PIT,QB,NE,,48.5,26,39,319,1,0,2,6,0,20.55
Sam,Bradford,PHI,QB,ATL,-1,53.5,22,33,268,2,1,0,0,0,19.4
Eli,Manning,NYG,QB,DAL,,50,29,41,348,1,1,0,0,0,19.4
Teddy,Bridgewater,MIN,QB,SF,0,41.5,18,29,277,1,0,2,14,0,19.25
Teddy,Bridgewater,MIN,QB,PIT,,,18,29,277,1,0,2,14,0,19.25
Matt,Ryan,ATL,QB,PHI,,53.5,24,37,302,1,0,0,0,0,19.1
Alex,Smith,KC,QB,HOU,,41,19,27,240,1,0,6,30,0,19
Matthew,Stafford,DET,QB,SD,,45.5,27,40,340,1,1,0,0,0,19
Robert,Griffin,WAS,QB,MIA,,43.5,21,34,273,1,1,7,31,0,18.75
Carson,Palmer,ARZ,QB,NO,-3,47,20,35,288,1,0,0,0,0,18.4
Tony,Romo,DAL,QB,NYG,-6,50,21,33,283,1,0,0,0,0,18.15
Geno,Smith,NYJ,QB,CLE,-3,40.5,24,34,261,2,2,3,11,0,18.15
Andy,Dalton,CIN,QB,OAK,-3.5,44,20,33,242,1,0,7,20,0,18.1
Brian,Hoyer,HOU,QB,KC,-1.5,41,25,37,279,1,0,0,0,0,17.95
Colin,Kaepernick,SF,QB,MIN,,41.5,17,28,234,2,2,4,20,0,17.7
Joe,Flacco,BAL,QB,DEN,,51,21,34,274,1,0,0,0,0,17.7
Derek,Carr,OAK,QB,CIN,,44,16,25,251,1,0,2,8,0,17.35
Jay,Cutler,CHI,QB,GB,,50,28,41,326,1,2,0,0,0,16.3
Jimmy,Garoppolo,NE,QB,PIT,-3,48.5,20,33,241,1,0,0,0,0,16.05
Jameis,Winston,TB,QB,TEN,-3,42,15,24,224,1,0,2,7,0,15.9
Matt,Cassel,BUF,QB,IND,,46.5,23,38,252,1,1,2,11,0,15.7
Blake,Bortles,JAC,QB,CAR,,41,20,33,256,1,1,0,0,0,14.8
Marcus,Mariota,TEN,QB,TB,,42,20,36,284,0,1,5,21,0,14.3
Nick,Foles,STL,QB,SEA,,43,15,24,205,1,0,0,0,0,14.25
Josh,McCown,CLE,QB,NYJ,,40.5,18,31,210,0,1,0,0,0,8.5
Tom,Brady,NE,QB,PIT,-3,48.5,0,0,0,0,0,0,0,0,0
Matt,Flynn,NYJ,QB,CLE,-3,40.5,0,0,0,0,0,0,0,0,0
Ryan,Fitzpatrick,NYJ,QB,CLE,-3,40.5,0,0,0,0,0,0,0,0,0
Zach,Mettenberger,TEN,QB,TB,,42,0,0,0,0,0,0,0,0,0
Mark,Sanchez,PHI,QB,ATL,-1,53.5,0,0,0,0,0,0,0,0,0
Tim,Tebow,PHI,QB,ATL,-1,53.5,0,0,0,0,0,0,0,0,0
Ryan,Mallett,HOU,QB,KC,-1.5,41,0,0,0,0,0,0,0,0,0
Johnny,Manziel,CLE,QB,NYJ,,40.5,0,0,0,0,0,0,0,0,0
