,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,Rec,RecYards,RecTD,RushAtt,RushYards,RushTD,FantasyPts
Rob,Gronkowski,NE,TE,PIT,-3,48.5,6,73,1,0,0,0,13.3
Greg,Olsen,CAR,TE,JAX,-3,41,6,70,1,0,0,0,13
Jimmy,Graham,SEA,TE,STL,-3.5,43,5,66,1,0,0,0,12.6
Julius,Thomas,JAC,TE,CAR,,41,4,43,1,0,0,0,10.3
Kyle,Rudolph,MIN,TE,SF,0,41.5,4,60,0,0,0,0,6
Kyle,Rudolph,MIN,TE,PIT,,,4,60,0,0,0,0,6
Jason,Witten,DAL,TE,NYG,-6,50,4,60,0,0,0,0,6
Martellus,Bennett,CHI,TE,GB,,50,4,59,0,0,0,0,5.9
Jordan,Reed,WAS,TE,MIA,,43.5,4,55,0,0,0,0,5.5
Josh,Hill,NO,TE,ARI,,47,4,55,0,0,0,0,5.5
Charles,Clay,BUF,TE,IND,,46.5,5,54,0,0,0,0,5.4
Delanie,Walker,TEN,TE,TB,,42,3,51,0,0,0,0,5.1
Owen,Daniels,DEN,TE,BAL,-4,51,4,50,0,0,0,0,5
Jordan,Cameron,MIA,TE,WAS,-3,43.5,4,50,0,0,0,0,5
Heath,Miller,PIT,TE,MIN,,,4,45,0,0,0,0,4.5
Heath,Miller,PIT,TE,NE,,48.5,4,45,0,0,0,0,4.5
Coby,Fleener,IND,TE,BUF,-2.5,46.5,3,44,0,0,0,0,4.4
Mychal,Rivera,OAK,TE,CIN,,44,3,44,0,0,0,0,4.4
Zach,Ertz,PHI,TE,ATL,-1,53.5,3,41,0,0,0,0,4.1
Larry,Donnell,NYG,TE,DAL,,50,4,41,0,0,0,0,4.1
Eric,Ebron,DET,TE,SD,,45.5,3,40,0,0,0,0,4
Vernon,Davis,SF,TE,MIN,,41.5,3,40,0,0,0,0,4
Dwayne,Allen,IND,TE,BUF,-2.5,46.5,3,40,0,0,0,0,4
Jace,Amaro,NYJ,TE,CLE,-3,40.5,3,38,0,0,0,0,3.8
Tyler,Eifert,CIN,TE,OAK,-3.5,44,3,38,0,0,0,0,3.8
Maxx,Williams,BAL,TE,DEN,,51,3,37,0,0,0,0,3.7
Jermaine,Gresham,ARZ,TE,NO,-3,47,3,37,0,0,0,0,3.7
Garrett,Graham,HOU,TE,KC,-1.5,41,3,36,0,0,0,0,3.6
Ladarius,Green,SD,TE,DET,-2.5,45.5,2,32,0,0,0,0,3.2
Austin,Seferian-Jenkins,TB,TE,TEN,-3,42,2,31,0,0,0,0,3.1
Andrew,Quarless,GB,TE,CHI,-6,50,2,30,0,0,0,0,3
Brandon,Pettigrew,DET,TE,SD,,45.5,2,30,0,0,0,0,3
Crockett,Gillmore,BAL,TE,DEN,,51,2,28,0,0,0,0,2.8
Jacob,Tamme,ATL,TE,PHI,,53.5,2,23,0,0,0,0,2.3
Rob,Housler,CLE,TE,NYJ,,40.5,2,21,0,0,0,0,2.1
Jared,Cook,STL,TE,SEA,,43,2,20,0,0,0,0,2
Jeff,Cumberland,NYJ,TE,CLE,-3,40.5,2,20,0,0,0,0,2
Virgil,Green,DEN,TE,BAL,-4,51,1,19,0,0,0,0,1.9
Richard,Rodgers,GB,TE,CHI,-6,50,1,14,0,0,0,0,1.4
Niles,Paul,WAS,TE,MIA,,43.5,1,13,0,0,0,0,1.3
Lance,Kendricks,STL,TE,SEA,,43,0,0,0,0,0,0,0
Brandon,Myers,TB,TE,TEN,-3,42,0,0,0,0,0,0,0
Scott,Chandler,NE,TE,PIT,-3,48.5,0,0,0,0,0,0,0
Brent,Celek,PHI,TE,ATL,-1,53.5,0,0,0,0,0,0,0
Gary,Barnidge,CLE,TE,NYJ,,40.5,0,0,0,0,0,0,0
James,Casey,DEN,TE,BAL,-4,51,0,0,0,0,0,0,0
Anthony,Fasano,TEN,TE,TB,,42,0,0,0,0,0,0,0
Marcedes,Lewis,JAC,TE,CAR,,41,0,0,0,0,0,0,0
Antonio,Gates,SD,TE,DET,-2.5,45.5,0,0,0,0,0,0,0
Ben,Watson,NO,TE,ARI,,47,0,0,0,0,0,0,0
C.J.,Fiedorowicz,HOU,TE,KC,-1.5,41,0,0,0,0,0,0,0
Troy,Niklas,ARZ,TE,NO,-3,47,0,0,0,0,0,0,0
Joseph,Fauria,DET,TE,SD,,45.5,0,0,0,0,0,0,0
Levine,Toilolo,ATL,TE,PHI,,53.5,0,0,0,0,0,0,0
